step,t_sec,timestamp_utc,frame_id_hex,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,can_heartbeat_ok,warning_tag,control_action,risk_level
0,0.0,2026-04-22T08:34:57.289014+00:00,0x18F181A0,121,2,0,59,92,26,12,2,1,make_up_oil_pressure_low,FORWARD,warning
0,0.0,2026-04-22T08:34:57.289014+00:00,0x18F182A0,157,78,160,118,0,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
0,0.0,2026-04-22T08:34:57.289014+00:00,0x18F183A0,144,1,67,0,244,3,124,3,1,make_up_oil_pressure_low,FORWARD,warning
0,0.0,2026-04-22T08:34:57.289014+00:00,0x18F184A0,128,101,60,56,87,112,68,58,1,make_up_oil_pressure_low,FORWARD,warning
0,0.0,2026-04-22T08:34:57.289014+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,make_up_oil_pressure_low,FORWARD,warning
0,0.0,2026-04-22T08:34:57.289014+00:00,0x18F189A0,133,0,5,0,0,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
0,0.0,2026-04-22T08:34:57.289014+00:00,0x18F190A0,124,3,1,1,220,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
1,0.1,2026-04-22T08:34:57.289968+00:00,0x18F181A0,121,2,0,59,92,26,12,2,1,make_up_oil_pressure_low,FORWARD,warning
1,0.1,2026-04-22T08:34:57.289968+00:00,0x18F182A0,161,81,162,119,0,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
1,0.1,2026-04-22T08:34:57.289968+00:00,0x18F183A0,144,1,67,0,4,4,151,3,1,make_up_oil_pressure_low,FORWARD,warning
1,0.1,2026-04-22T08:34:57.289968+00:00,0x18F184A0,128,101,60,55,87,111,68,58,1,make_up_oil_pressure_low,FORWARD,warning
1,0.1,2026-04-22T08:34:57.289968+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,make_up_oil_pressure_low,FORWARD,warning
1,0.1,2026-04-22T08:34:57.289968+00:00,0x18F189A0,133,0,6,0,0,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
1,0.1,2026-04-22T08:34:57.289968+00:00,0x18F190A0,151,3,1,1,218,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
2,0.2,2026-04-22T08:34:57.290228+00:00,0x18F181A0,121,2,0,58,92,26,12,2,1,make_up_oil_pressure_low,FORWARD,warning
2,0.2,2026-04-22T08:34:57.290228+00:00,0x18F182A0,158,81,160,119,0,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
2,0.2,2026-04-22T08:34:57.290228+00:00,0x18F183A0,144,1,68,0,229,3,148,3,1,make_up_oil_pressure_low,FORWARD,warning
2,0.2,2026-04-22T08:34:57.290228+00:00,0x18F184A0,128,101,59,55,87,113,68,58,1,make_up_oil_pressure_low,FORWARD,warning
2,0.2,2026-04-22T08:34:57.290228+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,make_up_oil_pressure_low,FORWARD,warning
2,0.2,2026-04-22T08:34:57.290228+00:00,0x18F189A0,133,0,6,0,0,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
2,0.2,2026-04-22T08:34:57.290228+00:00,0x18F190A0,148,3,1,1,217,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
3,0.3,2026-04-22T08:34:57.290459+00:00,0x18F181A0,121,2,0,58,92,26,12,2,1,make_up_oil_pressure_low,FORWARD,warning
3,0.3,2026-04-22T08:34:57.290459+00:00,0x18F182A0,156,78,161,119,0,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
3,0.3,2026-04-22T08:34:57.290459+00:00,0x18F183A0,144,1,68,0,6,4,128,3,1,make_up_oil_pressure_low,FORWARD,warning
3,0.3,2026-04-22T08:34:57.290459+00:00,0x18F184A0,128,101,59,55,87,112,68,58,1,make_up_oil_pressure_low,FORWARD,warning
3,0.3,2026-04-22T08:34:57.290459+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,make_up_oil_pressure_low,FORWARD,warning
3,0.3,2026-04-22T08:34:57.290459+00:00,0x18F189A0,134,0,6,0,0,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
3,0.3,2026-04-22T08:34:57.290459+00:00,0x18F190A0,128,3,1,1,220,0,0,0,1,make_up_oil_pressure_low,FORWARD,warning
