序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-29 09:08:39.835.118,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
1,接收,1,2026-04-29 09:08:39.841.218,0.006100,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 8b 13 f0
2,接收,1,2026-04-29 09:08:39.898.938,0.057720,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 2f 5a 19 00 00
3,接收,1,2026-04-29 09:08:39.899.502,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,95 00 32 00 98 00 81 00
4,接收,1,2026-04-29 09:08:39.900.062,0.000560,18f183a0,报文帧,数据帧,扩展帧,CAN,8,60 09 08 00 75 06 d4 01
5,接收,1,2026-04-29 09:08:39.900.614,0.000552,18f184a0,报文帧,数据帧,扩展帧,CAN,8,1a 00 22 00 2b 00 39 00
6,接收,1,2026-04-29 09:08:39.901.174,0.000560,18f185a0,报文帧,数据帧,扩展帧,CAN,8,38 10 00 00 30 2a 00 00
7,接收,1,2026-04-29 09:08:39.901.750,0.000576,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
8,接收,1,2026-04-29 09:08:39.902.311,0.000561,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 01 02 01 01 01 02 02
9,接收,1,2026-04-29 09:08:39.902.871,0.000560,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
10,接收,1,2026-04-29 09:08:39.903.439,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 04 19 00
11,接收,1,2026-04-29 09:08:39.904.011,0.000572,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
12,接收,1,2026-04-29 09:08:39.904.591,0.000580,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
13,接收,1,2026-04-29 09:08:39.905.171,0.000580,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 38
14,接收,1,2026-04-29 09:08:39.905.668,0.000497,182,报文帧,数据帧,标准帧,CAN,8,95 00 98 00 32 00 81 00
15,接收,1,2026-04-29 09:08:39.906.148,0.000480,183,报文帧,数据帧,标准帧,CAN,8,00 00 4a 00 53 00 61 00
16,接收,1,2026-04-29 09:08:39.906.632,0.000484,184,报文帧,数据帧,标准帧,CAN,8,18 00 75 06 d4 01 1a 00
17,接收,1,2026-04-29 09:08:39.907.105,0.000473,185,报文帧,数据帧,标准帧,CAN,8,02 01 1f 00 00 02 5f 19
18,接收,1,2026-04-29 09:08:39.941.237,0.034132,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 81 13 f0
19,接收,1,2026-04-29 09:08:39.962.296,0.021059,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
20,接收,1,2026-04-29 09:08:39.992.467,0.030171,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 39
21,接收,1,2026-04-29 09:08:40.030.557,0.038090,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
22,接收,1,2026-04-29 09:08:40.041.237,0.010680,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 7a 13 f0
23,接收,1,2026-04-29 09:08:40.080.464,0.039227,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 39
24,接收,1,2026-04-29 09:08:40.135.101,0.054637,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
25,接收,1,2026-04-29 09:08:40.141.253,0.006152,731,报文帧,数据帧,标准帧,CAN,1,05
26,接收,1,2026-04-29 09:08:40.141.485,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 75 13 f0
27,接收,1,2026-04-29 09:08:40.168.464,0.026979,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3a
28,接收,1,2026-04-29 09:08:40.241.261,0.072797,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 70 13 f0
29,接收,1,2026-04-29 09:08:40.256.461,0.015200,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3a
30,接收,1,2026-04-29 09:08:40.282.383,0.025922,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
31,接收,1,2026-04-29 09:08:40.335.088,0.052705,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
32,接收,1,2026-04-29 09:08:40.341.256,0.006168,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 4f 13 f0
33,接收,1,2026-04-29 09:08:40.344.456,0.003200,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3b
34,接收,1,2026-04-29 09:08:40.398.932,0.054476,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 2f 59 19 00 00
35,接收,1,2026-04-29 09:08:40.399.496,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,95 00 31 00 98 00 81 00
36,接收,1,2026-04-29 09:08:40.400.056,0.000560,18f183a0,报文帧,数据帧,扩展帧,CAN,8,60 09 08 00 6e 06 d4 01
37,接收,1,2026-04-29 09:08:40.400.608,0.000552,18f184a0,报文帧,数据帧,扩展帧,CAN,8,1a 00 22 00 2b 00 39 00
38,接收,1,2026-04-29 09:08:40.401.168,0.000560,18f185a0,报文帧,数据帧,扩展帧,CAN,8,38 10 00 00 30 2a 00 00
39,接收,1,2026-04-29 09:08:40.401.745,0.000577,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
40,接收,1,2026-04-29 09:08:40.402.305,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 01 02 01 01 01 02 02
41,接收,1,2026-04-29 09:08:40.402.865,0.000560,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
42,接收,1,2026-04-29 09:08:40.403.434,0.000569,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 04 19 00
43,接收,1,2026-04-29 09:08:40.404.006,0.000572,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
44,接收,1,2026-04-29 09:08:40.404.586,0.000580,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
45,接收,1,2026-04-29 09:08:40.405.166,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
46,接收,1,2026-04-29 09:08:40.432.453,0.027287,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3b
47,接收,1,2026-04-29 09:08:40.441.277,0.008824,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 53 13 f0
48,接收,1,2026-04-29 09:08:40.442.270,0.000993,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
49,接收,1,2026-04-29 09:08:40.520.451,0.078181,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3b
50,接收,1,2026-04-29 09:08:40.530.527,0.010076,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
51,接收,1,2026-04-29 09:08:40.541.271,0.010744,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 6d 13 f0
52,接收,1,2026-04-29 09:08:40.608.449,0.067178,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3c
53,接收,1,2026-04-29 09:08:40.630.520,0.022071,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
54,接收,1,2026-04-29 09:08:40.641.292,0.010772,731,报文帧,数据帧,标准帧,CAN,1,05
55,接收,1,2026-04-29 09:08:40.641.524,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 74 13 f0
56,接收,1,2026-04-29 09:08:40.696.446,0.054922,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3c
57,接收,1,2026-04-29 09:08:40.741.295,0.044849,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 7a 13 f0
58,接收,1,2026-04-29 09:08:40.762.250,0.020955,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
59,接收,1,2026-04-29 09:08:40.784.442,0.022192,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3d
60,接收,1,2026-04-29 09:08:40.835.055,0.050613,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
61,接收,1,2026-04-29 09:08:40.841.291,0.006236,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 7f 13 f0
62,接收,1,2026-04-29 09:08:40.872.438,0.031147,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3d
63,接收,1,2026-04-29 09:08:40.898.923,0.026485,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 2f 5a 19 00 00
64,接收,1,2026-04-29 09:08:40.899.487,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,95 00 31 00 98 00 80 00
65,接收,1,2026-04-29 09:08:40.900.051,0.000564,18f183a0,报文帧,数据帧,扩展帧,CAN,8,60 09 08 00 73 06 d4 01
66,接收,1,2026-04-29 09:08:40.900.608,0.000557,18f184a0,报文帧,数据帧,扩展帧,CAN,8,1a 00 22 00 2b 00 39 00
67,接收,1,2026-04-29 09:08:40.901.168,0.000560,18f185a0,报文帧,数据帧,扩展帧,CAN,8,38 10 00 00 30 2a 00 00
68,接收,1,2026-04-29 09:08:40.901.744,0.000576,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
69,接收,1,2026-04-29 09:08:40.902.305,0.000561,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 01 02 01 01 01 02 02
70,接收,1,2026-04-29 09:08:40.902.865,0.000560,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
71,接收,1,2026-04-29 09:08:40.903.433,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 04 19 00
72,接收,1,2026-04-29 09:08:40.904.005,0.000572,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
73,接收,1,2026-04-29 09:08:40.904.586,0.000581,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
74,接收,1,2026-04-29 09:08:40.905.167,0.000581,181,报文帧,数据帧,标准帧,CAN,8,00 03 00 2f 5a 19 00 00
75,接收,1,2026-04-29 09:08:40.905.647,0.000480,182,报文帧,数据帧,标准帧,CAN,8,95 00 98 00 31 00 80 00
76,接收,1,2026-04-29 09:08:40.906.127,0.000480,183,报文帧,数据帧,标准帧,CAN,8,00 00 4a 00 53 00 61 00
77,接收,1,2026-04-29 09:08:40.906.611,0.000484,184,报文帧,数据帧,标准帧,CAN,8,18 00 73 06 d4 01 1a 00
78,接收,1,2026-04-29 09:08:40.907.091,0.000480,185,报文帧,数据帧,标准帧,CAN,8,02 01 1f 00 00 02 5f 19
79,接收,1,2026-04-29 09:08:40.935.049,0.027958,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
80,接收,1,2026-04-29 09:08:40.941.313,0.006264,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 6f 13 f0
81,接收,1,2026-04-29 09:08:40.960.437,0.019124,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3e
82,接收,1,2026-04-29 09:08:41.041.306,0.080869,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 62 13 f0
83,接收,1,2026-04-29 09:08:41.048.434,0.007128,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3e
84,接收,1,2026-04-29 09:08:41.082.332,0.033898,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
85,接收,1,2026-04-29 09:08:41.135.037,0.052705,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
86,接收,1,2026-04-29 09:08:41.136.429,0.001392,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3f
87,接收,1,2026-04-29 09:08:41.141.334,0.004905,731,报文帧,数据帧,标准帧,CAN,1,05
88,接收,1,2026-04-29 09:08:41.141.565,0.000231,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 65 13 f0
89,接收,1,2026-04-29 09:08:41.224.426,0.082861,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3f
90,接收,1,2026-04-29 09:08:41.241.335,0.016909,1b1,报文帧,数据帧,标准帧,CAN,5,16 28 75 13 f0
91,接收,1,2026-04-29 09:08:41.242.219,0.000884,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
92,接收,1,2026-04-29 09:08:41.312.425,0.070206,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3f
