序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-29 08:31:47.436.518,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,ae 25 b6 11 f0
1,接收,1,2026-04-29 08:31:47.448.002,0.011484,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 53
2,接收,1,2026-04-29 08:31:47.484.192,0.036190,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
3,接收,1,2026-04-29 08:31:47.536.003,0.051811,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 54
4,接收,1,2026-04-29 08:31:47.536.515,0.000512,731,报文帧,数据帧,标准帧,CAN,1,05
5,接收,1,2026-04-29 08:31:47.536.747,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,ae 25 bf 11 f0
6,接收,1,2026-04-29 08:31:47.542.451,0.005704,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
7,接收,1,2026-04-29 08:31:47.624.000,0.081549,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 54
8,接收,1,2026-04-29 08:31:47.636.521,0.012521,1b1,报文帧,数据帧,标准帧,CAN,5,ae 25 d2 11 f0
9,接收,1,2026-04-29 08:31:47.644.180,0.007659,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
10,接收,1,2026-04-29 08:31:47.694.716,0.050536,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 04 00 1c 55 1a 00 00
11,接收,1,2026-04-29 08:31:47.695.280,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,a1 00 35 00 a3 00 82 00
12,接收,1,2026-04-29 08:31:47.695.841,0.000561,18f183a0,报文帧,数据帧,扩展帧,CAN,8,60 09 07 00 01 06 dc 01
13,接收,1,2026-04-29 08:31:47.696.405,0.000564,18f184a0,报文帧,数据帧,扩展帧,CAN,8,1a 00 1d 00 18 00 2d 00
14,接收,1,2026-04-29 08:31:47.696.965,0.000560,18f185a0,报文帧,数据帧,扩展帧,CAN,8,5f 0b 00 00 20 1c 00 00
15,接收,1,2026-04-29 08:31:47.697.530,0.000565,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
16,接收,1,2026-04-29 08:31:47.698.090,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,01 02 02 01 01 01 02 02
17,接收,1,2026-04-29 08:31:47.698.654,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 01 02 01
18,接收,1,2026-04-29 08:31:47.699.222,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 14 00
19,接收,1,2026-04-29 08:31:47.699.798,0.000576,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
20,接收,1,2026-04-29 08:31:47.700.379,0.000581,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
21,接收,1,2026-04-29 08:31:47.700.959,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
22,接收,1,2026-04-29 08:31:47.711.995,0.011036,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 55
23,接收,1,2026-04-29 08:31:47.736.543,0.024548,1b1,报文帧,数据帧,标准帧,CAN,5,ae 25 d0 11 f0
24,接收,1,2026-04-29 08:31:47.746.987,0.010444,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
25,接收,1,2026-04-29 08:31:47.799.994,0.053007,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 55
26,接收,1,2026-04-29 08:31:47.836.539,0.036545,1b1,报文帧,数据帧,标准帧,CAN,5,ae 25 c3 11 f0
27,接收,1,2026-04-29 08:31:47.842.434,0.005895,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
28,接收,1,2026-04-29 08:31:47.887.993,0.045559,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
29,接收,1,2026-04-29 08:31:47.936.559,0.048566,1b1,报文帧,数据帧,标准帧,CAN,5,ae 25 b5 11 f0
30,接收,1,2026-04-29 08:31:47.964.161,0.027602,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
31,接收,1,2026-04-29 08:31:47.975.989,0.011828,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
32,接收,1,2026-04-29 08:31:48.036.558,0.060569,731,报文帧,数据帧,标准帧,CAN,1,05
33,接收,1,2026-04-29 08:31:48.036.791,0.000233,1b1,报文帧,数据帧,标准帧,CAN,5,ae 25 b3 11 f0
34,接收,1,2026-04-29 08:31:48.042.422,0.005631,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
35,接收,1,2026-04-29 08:31:48.063.986,0.021564,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
36,接收,1,2026-04-29 08:31:48.136.564,0.072578,1b1,报文帧,数据帧,标准帧,CAN,5,ae 25 b1 11 f0
37,接收,1,2026-04-29 08:31:48.142.419,0.005855,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
38,接收,1,2026-04-29 08:31:48.151.983,0.009564,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 57
39,接收,1,2026-04-29 08:31:48.194.707,0.042724,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 04 00 1c 55 1a 00 00
