序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,发送,1,2026-04-29 08:15:35.255.746,0.000000,0,错误帧,数据帧,标准帧,CAN,0,
1,发送,1,2026-04-29 08:15:35.255.750,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
2,发送,1,2026-04-29 08:15:35.255.754,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
3,发送,1,2026-04-29 08:15:35.255.758,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
4,发送,1,2026-04-29 08:15:35.255.762,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
5,发送,1,2026-04-29 08:15:35.255.766,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
6,发送,1,2026-04-29 08:15:35.255.770,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
7,发送,1,2026-04-29 08:15:35.255.774,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
8,发送,1,2026-04-29 08:15:35.255.778,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
9,发送,1,2026-04-29 08:15:35.255.782,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
10,发送,1,2026-04-29 08:15:35.255.786,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
11,发送,1,2026-04-29 08:15:35.255.790,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
12,发送,1,2026-04-29 08:15:35.255.794,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
13,发送,1,2026-04-29 08:15:35.255.798,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
14,发送,1,2026-04-29 08:15:35.255.802,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
15,发送,1,2026-04-29 08:15:35.255.806,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
16,发送,1,2026-04-29 08:15:35.255.810,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
17,接收,1,2026-04-29 08:15:35.255.850,0.000040,1b1,错误帧,数据帧,标准帧,CAN,0,
18,接收,1,2026-04-29 08:15:35.256.277,0.000427,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 00 00 f0
19,接收,1,2026-04-29 08:15:35.256.682,0.000405,731,报文帧,数据帧,标准帧,CAN,1,05
20,发送,1,2026-04-29 08:15:35.257.131,0.000449,0,错误帧,数据帧,标准帧,CAN,0,
21,发送,1,2026-04-29 08:15:35.257.135,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
22,发送,1,2026-04-29 08:15:35.257.419,0.000284,0,错误帧,数据帧,标准帧,CAN,0,
23,发送,1,2026-04-29 08:15:35.257.707,0.000288,0,错误帧,数据帧,标准帧,CAN,0,
24,接收,1,2026-04-29 08:15:35.257.810,0.000103,731,报文帧,数据帧,标准帧,CAN,1,00
25,接收,1,2026-04-29 08:15:35.275.507,0.017697,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 ab 12 f0
26,接收,1,2026-04-29 08:15:35.375.526,0.100019,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 c0 12 f0
27,接收,1,2026-04-29 08:15:35.441.986,0.066460,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
28,接收,1,2026-04-29 08:15:35.475.523,0.033537,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 c2 12 f0
29,接收,1,2026-04-29 08:15:35.546.531,0.071008,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
30,接收,1,2026-04-29 08:15:35.575.544,0.029013,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 c4 12 f0
31,接收,1,2026-04-29 08:15:35.641.976,0.066432,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
32,接收,1,2026-04-29 08:15:35.675.545,0.033569,731,报文帧,数据帧,标准帧,CAN,1,05
33,接收,1,2026-04-29 08:15:35.675.809,0.000264,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 c2 12 f0
34,接收,1,2026-04-29 08:15:35.741.973,0.066164,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
35,接收,1,2026-04-29 08:15:35.775.546,0.033573,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 bd 12 f0
36,接收,1,2026-04-29 08:15:35.841.967,0.066421,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
37,接收,1,2026-04-29 08:15:35.875.567,0.033600,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 bb 12 f0
38,接收,1,2026-04-29 08:15:35.946.508,0.070941,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
39,接收,1,2026-04-29 08:15:35.975.569,0.029061,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 bb 12 f0
40,接收,1,2026-04-29 08:15:36.046.504,0.070935,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
41,接收,1,2026-04-29 08:15:36.075.589,0.029085,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 be 12 f0
42,接收,1,2026-04-29 08:15:36.146.497,0.070908,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
43,接收,1,2026-04-29 08:15:36.175.586,0.029089,731,报文帧,数据帧,标准帧,CAN,1,05
44,接收,1,2026-04-29 08:15:36.175.817,0.000231,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 c0 12 f0
45,接收,1,2026-04-29 08:15:36.246.494,0.070677,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
