序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-29 08:47:56.564.268,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,b8 26 a8 12 f0
1,接收,1,2026-04-29 08:47:56.595.446,0.031178,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
2,接收,1,2026-04-29 08:47:56.629.249,0.033803,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ab
3,接收,1,2026-04-29 08:47:56.664.262,0.035013,1b1,报文帧,数据帧,标准帧,CAN,5,b8 26 93 12 f0
4,接收,1,2026-04-29 08:47:56.698.044,0.033782,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
5,接收,1,2026-04-29 08:47:56.717.247,0.019203,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ac
6,接收,1,2026-04-29 08:47:56.764.288,0.047041,731,报文帧,数据帧,标准帧,CAN,1,05
7,接收,1,2026-04-29 08:47:56.764.520,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,b8 26 8e 12 f0
8,接收,1,2026-04-29 08:47:56.798.038,0.033518,18d,报文帧,数据帧,标准帧,CAN,8,28 00 00 00 00 00 01 00
9,接收,1,2026-04-29 08:47:56.805.242,0.007204,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ac
10,接收,1,2026-04-29 08:47:56.864.291,0.059049,1b1,报文帧,数据帧,标准帧,CAN,5,b8 26 87 12 f0
11,接收,1,2026-04-29 08:47:56.893.242,0.028951,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ac
12,接收,1,2026-04-29 08:47:56.915.845,0.022603,18d,报文帧,数据帧,标准帧,CAN,8,28 00 00 00 00 00 00 00
13,接收,1,2026-04-29 08:47:56.923.197,0.007352,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 24 57 18 00 00
