序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-29 08:44:56.546.036,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
1,接收,1,2026-04-29 08:44:56.587.031,0.040995,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 53
2,接收,1,2026-04-29 08:44:56.604.298,0.017267,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
3,接收,1,2026-04-29 08:44:56.609.954,0.005656,1b1,报文帧,数据帧,标准帧,CAN,5,80 26 f2 11 f0
4,接收,1,2026-04-29 08:44:56.675.027,0.065073,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 54
5,接收,1,2026-04-29 08:44:56.706.026,0.030999,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
6,接收,1,2026-04-29 08:44:56.709.954,0.003928,731,报文帧,数据帧,标准帧,CAN,1,05
7,接收,1,2026-04-29 08:44:56.710.186,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,80 26 f0 11 f0
8,接收,1,2026-04-29 08:44:56.763.024,0.052838,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 54
9,接收,1,2026-04-29 08:44:56.808.834,0.045810,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
10,接收,1,2026-04-29 08:44:56.809.982,0.001148,1b1,报文帧,数据帧,标准帧,CAN,5,80 26 1b 12 f0
11,接收,1,2026-04-29 08:44:56.851.025,0.041043,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 55
12,接收,1,2026-04-29 08:44:56.855.941,0.004916,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 23 56 18 00 00
13,接收,1,2026-04-29 08:44:56.856.510,0.000569,18f182a0,报文帧,数据帧,扩展帧,CAN,8,9d 00 2e 00 a0 00 81 00
14,接收,1,2026-04-29 08:44:56.857.078,0.000568,18f183a0,报文帧,数据帧,扩展帧,CAN,8,60 09 00 00 76 03 7c 01
15,接收,1,2026-04-29 08:44:56.857.646,0.000568,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 20 00 20 00 2f 00
16,接收,1,2026-04-29 08:44:56.858.219,0.000573,18f185a0,报文帧,数据帧,扩展帧,CAN,8,53 0c 00 00 20 1c 00 00
17,接收,1,2026-04-29 08:44:56.858.783,0.000564,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
18,接收,1,2026-04-29 08:44:56.859.343,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 01 02 01 01 01 02 02
19,接收,1,2026-04-29 08:44:56.859.903,0.000560,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
20,接收,1,2026-04-29 08:44:56.860.472,0.000569,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 01 13 00
21,接收,1,2026-04-29 08:44:56.861.044,0.000572,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
22,接收,1,2026-04-29 08:44:56.861.624,0.000580,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
23,接收,1,2026-04-29 08:44:56.862.205,0.000581,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
24,接收,1,2026-04-29 08:44:56.904.278,0.042073,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
25,接收,1,2026-04-29 08:44:56.909.982,0.005704,1b1,报文帧,数据帧,标准帧,CAN,5,80 26 39 12 f0
26,接收,1,2026-04-29 08:44:56.939.021,0.029039,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 55
27,接收,1,2026-04-29 08:44:57.009.974,0.070953,1b1,报文帧,数据帧,标准帧,CAN,5,80 26 65 12 f0
28,接收,1,2026-04-29 08:44:57.026.009,0.016035,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
29,接收,1,2026-04-29 08:44:57.027.017,0.001008,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
30,接收,1,2026-04-29 08:44:57.108.817,0.081800,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
31,接收,1,2026-04-29 08:44:57.109.997,0.001180,1b1,报文帧,数据帧,标准帧,CAN,5,80 26 67 12 f0
32,接收,1,2026-04-29 08:44:57.115.017,0.005020,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
33,接收,1,2026-04-29 08:44:57.203.014,0.087997,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
34,接收,1,2026-04-29 08:44:57.204.263,0.001249,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
35,接收,1,2026-04-29 08:44:57.209.994,0.005731,731,报文帧,数据帧,标准帧,CAN,1,05
36,接收,1,2026-04-29 08:44:57.210.226,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,80 26 57 12 f0
37,接收,1,2026-04-29 08:44:57.291.008,0.080782,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 57
38,接收,1,2026-04-29 08:44:57.309.996,0.018988,1b1,报文帧,数据帧,标准帧,CAN,5,80 26 24 12 f0
39,接收,1,2026-04-29 08:44:57.345.990,0.035994,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
40,接收,1,2026-04-29 08:44:57.355.934,0.009944,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 23 56 18 00 00
41,接收,1,2026-04-29 08:44:57.356.502,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,9d 00 2c 00 a0 00 81 00
42,接收,1,2026-04-29 08:44:57.357.075,0.000573,18f183a0,报文帧,数据帧,扩展帧,CAN,8,60 09 00 00 72 03 7c 01
43,接收,1,2026-04-29 08:44:57.357.647,0.000572,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 20 00 20 00 2f 00
44,接收,1,2026-04-29 08:44:57.358.219,0.000572,18f185a0,报文帧,数据帧,扩展帧,CAN,8,53 0c 00 00 20 1c 00 00
45,接收,1,2026-04-29 08:44:57.358.784,0.000565,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
46,接收,1,2026-04-29 08:44:57.359.344,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 01 02 01 01 01 02 02
47,接收,1,2026-04-29 08:44:57.359.904,0.000560,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
48,接收,1,2026-04-29 08:44:57.360.473,0.000569,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 01 13 00
49,接收,1,2026-04-29 08:44:57.361.045,0.000572,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
50,接收,1,2026-04-29 08:44:57.361.625,0.000580,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
