序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 14:23:23.676.434,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 00 00 f0
1,发送,1,2026-04-24 14:23:23.677.023,0.000589,0,错误帧,数据帧,标准帧,CAN,0,
2,发送,1,2026-04-24 14:23:23.677.027,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
3,发送,1,2026-04-24 14:23:23.677.031,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
4,发送,1,2026-04-24 14:23:23.677.035,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
5,发送,1,2026-04-24 14:23:23.677.039,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
6,发送,1,2026-04-24 14:23:23.677.043,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
7,发送,1,2026-04-24 14:23:23.677.047,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
8,发送,1,2026-04-24 14:23:23.677.051,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
9,发送,1,2026-04-24 14:23:23.677.055,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
10,发送,1,2026-04-24 14:23:23.677.059,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
11,发送,1,2026-04-24 14:23:23.677.063,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
12,发送,1,2026-04-24 14:23:23.677.067,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
13,发送,1,2026-04-24 14:23:23.677.071,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
14,发送,1,2026-04-24 14:23:23.677.075,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
15,发送,1,2026-04-24 14:23:23.677.079,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
16,发送,1,2026-04-24 14:23:23.677.083,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
17,发送,1,2026-04-24 14:23:23.677.087,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
18,接收,1,2026-04-24 14:23:23.677.127,0.000040,731,错误帧,数据帧,标准帧,CAN,0,
19,接收,1,2026-04-24 14:23:23.677.414,0.000287,731,报文帧,数据帧,标准帧,CAN,1,05
20,接收,1,2026-04-24 14:23:23.677.679,0.000265,731,报文帧,数据帧,标准帧,CAN,1,00
21,接收,1,2026-04-24 14:23:23.692.683,0.015004,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 d6 12 f0
22,接收,1,2026-04-24 14:23:23.792.706,0.100023,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e0 12 f0
23,接收,1,2026-04-24 14:23:23.853.783,0.061077,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
24,接收,1,2026-04-24 14:23:23.892.703,0.038920,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e2 12 f0
25,接收,1,2026-04-24 14:23:23.958.328,0.065625,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
26,接收,1,2026-04-24 14:23:23.992.724,0.034396,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e2 12 f0
27,接收,1,2026-04-24 14:23:24.053.773,0.061049,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
28,接收,1,2026-04-24 14:23:24.092.722,0.038949,731,报文帧,数据帧,标准帧,CAN,1,05
29,接收,1,2026-04-24 14:23:24.092.986,0.000264,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e2 12 f0
30,接收,1,2026-04-24 14:23:24.153.767,0.060781,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
31,接收,1,2026-04-24 14:23:24.192.727,0.038960,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
32,接收,1,2026-04-24 14:23:24.253.764,0.061037,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
33,接收,1,2026-04-24 14:23:24.292.744,0.038980,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
34,接收,1,2026-04-24 14:23:24.358.305,0.065561,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
35,接收,1,2026-04-24 14:23:24.392.745,0.034440,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
36,接收,1,2026-04-24 14:23:24.458.302,0.065557,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
37,接收,1,2026-04-24 14:23:24.492.763,0.034461,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
38,接收,1,2026-04-24 14:23:24.558.295,0.065532,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
39,接收,1,2026-04-24 14:23:24.592.764,0.034469,731,报文帧,数据帧,标准帧,CAN,1,05
40,接收,1,2026-04-24 14:23:24.592.996,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
41,接收,1,2026-04-24 14:23:24.658.288,0.065292,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
42,接收,1,2026-04-24 14:23:24.692.765,0.034477,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
43,接收,1,2026-04-24 14:23:24.758.286,0.065521,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
44,接收,1,2026-04-24 14:23:24.792.791,0.034505,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
45,接收,1,2026-04-24 14:23:24.794.665,0.001874,0,错误帧,数据帧,标准帧,CAN,0,
46,接收,1,2026-04-24 14:23:24.882.710,0.088045,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 00
47,接收,1,2026-04-24 14:23:24.892.787,0.010077,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e5 12 f0
48,接收,1,2026-04-24 14:23:24.926.257,0.033470,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
49,接收,1,2026-04-24 14:23:24.953.723,0.027466,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
50,接收,1,2026-04-24 14:23:24.970.707,0.016984,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 00
51,接收,1,2026-04-24 14:23:24.992.812,0.022105,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e5 12 f0
52,接收,1,2026-04-24 14:23:25.053.720,0.060908,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
53,接收,1,2026-04-24 14:23:25.058.708,0.004988,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 01
54,接收,1,2026-04-24 14:23:25.092.805,0.034097,731,报文帧,数据帧,标准帧,CAN,1,05
55,接收,1,2026-04-24 14:23:25.093.037,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e5 12 f0
56,接收,1,2026-04-24 14:23:25.146.704,0.053667,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 01
57,接收,1,2026-04-24 14:23:25.153.716,0.007012,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
58,接收,1,2026-04-24 14:23:25.192.812,0.039096,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e5 12 f0
59,接收,1,2026-04-24 14:23:25.234.703,0.041891,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 02
60,接收,1,2026-04-24 14:23:25.292.836,0.058133,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e5 12 f0
61,接收,1,2026-04-24 14:23:25.322.699,0.029863,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 02
62,接收,1,2026-04-24 14:23:25.326.236,0.003537,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
63,接收,1,2026-04-24 14:23:25.353.702,0.027466,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
64,接收,1,2026-04-24 14:23:25.392.831,0.039129,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
65,接收,1,2026-04-24 14:23:25.410.698,0.017867,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 03
66,接收,1,2026-04-24 14:23:25.453.697,0.042999,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
67,接收,1,2026-04-24 14:23:25.492.853,0.039156,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e4 12 f0
68,接收,1,2026-04-24 14:23:25.498.697,0.005844,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 03
69,接收,1,2026-04-24 14:23:25.553.691,0.054994,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
70,接收,1,2026-04-24 14:23:25.586.693,0.033002,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 03
71,接收,1,2026-04-24 14:23:25.593.846,0.007153,731,报文帧,数据帧,标准帧,CAN,1,05
72,接收,1,2026-04-24 14:23:25.594.078,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,dc 25 e4 12 f0
73,接收,1,2026-04-24 14:23:25.612.275,0.018197,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
74,接收,1,2026-04-24 14:23:25.623.016,0.010741,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
75,接收,1,2026-04-24 14:23:25.634.016,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
76,接收,1,2026-04-24 14:23:25.645.016,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
77,接收,1,2026-04-24 14:23:25.656.016,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
78,接收,1,2026-04-24 14:23:25.667.016,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
79,接收,1,2026-04-24 14:23:25.674.691,0.007675,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 04
80,接收,1,2026-04-24 14:23:25.678.016,0.003325,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
81,接收,1,2026-04-24 14:23:25.689.016,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
82,接收,1,2026-04-24 14:23:25.693.853,0.004837,1b1,报文帧,数据帧,标准帧,CAN,5,dc 25 e4 12 f0
83,接收,1,2026-04-24 14:23:25.700.017,0.006164,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
84,接收,1,2026-04-24 14:23:25.711.017,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
85,接收,1,2026-04-24 14:23:25.721.737,0.010720,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
86,接收,1,2026-04-24 14:23:25.758.231,0.036494,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
87,接收,1,2026-04-24 14:23:25.762.690,0.004459,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 04
88,接收,1,2026-04-24 14:23:25.793.872,0.031182,1b1,报文帧,数据帧,标准帧,CAN,5,dc 25 e4 12 f0
89,接收,1,2026-04-24 14:23:25.850.686,0.056814,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 05
90,接收,1,2026-04-24 14:23:25.858.226,0.007540,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
91,接收,1,2026-04-24 14:23:25.893.867,0.035641,1b1,报文帧,数据帧,标准帧,CAN,5,dc 25 e4 12 f0
92,接收,1,2026-04-24 14:23:25.938.685,0.044818,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 05
93,接收,1,2026-04-24 14:23:25.958.221,0.019536,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
94,接收,1,2026-04-24 14:23:25.993.889,0.035668,1b1,报文帧,数据帧,标准帧,CAN,5,dc 25 e4 12 f0
95,接收,1,2026-04-24 14:23:26.026.685,0.032796,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 06
96,接收,1,2026-04-24 14:23:26.093.887,0.067202,731,报文帧,数据帧,标准帧,CAN,1,05
97,接收,1,2026-04-24 14:23:26.094.118,0.000231,1b1,报文帧,数据帧,标准帧,CAN,5,dc 25 e4 12 f0
98,接收,1,2026-04-24 14:23:26.114.682,0.020564,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 06
99,接收,1,2026-04-24 14:23:26.126.193,0.011511,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
100,接收,1,2026-04-24 14:23:26.153.660,0.027467,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
101,接收,1,2026-04-24 14:23:26.193.893,0.040233,1b1,报文帧,数据帧,标准帧,CAN,5,dc 25 e4 12 f0
102,接收,1,2026-04-24 14:23:26.202.680,0.008787,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 07
103,接收,1,2026-04-24 14:23:26.258.202,0.055522,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
104,接收,1,2026-04-24 14:23:26.276.010,0.017808,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 1d 58 00 00 00
105,接收,1,2026-04-24 14:23:26.276.582,0.000572,18f182a0,报文帧,数据帧,扩展帧,CAN,8,00 00 03 00 02 00 02 00
106,接收,1,2026-04-24 14:23:26.277.158,0.000576,18f183a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
107,接收,1,2026-04-24 14:23:26.277.742,0.000584,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
