序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 12:54:25.330.606,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 00 00 f0
1,接收,1,2026-04-24 12:54:25.331.010,0.000404,731,报文帧,数据帧,标准帧,CAN,1,05
2,接收,1,2026-04-24 12:54:25.331.275,0.000265,731,报文帧,数据帧,标准帧,CAN,1,00
3,接收,1,2026-04-24 12:54:25.355.980,0.024705,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a7 13 f0
4,接收,1,2026-04-24 12:54:25.455.978,0.099998,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b1 13 f0
5,接收,1,2026-04-24 12:54:25.513.403,0.057425,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
6,接收,1,2026-04-24 12:54:25.556.004,0.042601,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b1 13 f0
7,接收,1,2026-04-24 12:54:25.617.945,0.061941,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
8,接收,1,2026-04-24 12:54:25.655.998,0.038053,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b1 13 f0
9,接收,1,2026-04-24 12:54:25.713.391,0.057393,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
10,接收,1,2026-04-24 12:54:25.756.023,0.042632,731,报文帧,数据帧,标准帧,CAN,1,05
11,接收,1,2026-04-24 12:54:25.756.288,0.000265,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b1 13 f0
12,接收,1,2026-04-24 12:54:25.813.385,0.057097,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
13,接收,1,2026-04-24 12:54:25.856.025,0.042640,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b1 13 f0
14,接收,1,2026-04-24 12:54:25.913.378,0.057353,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
15,接收,1,2026-04-24 12:54:25.956.019,0.042641,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b1 13 f0
16,接收,1,2026-04-24 12:54:26.017.924,0.061905,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
17,接收,1,2026-04-24 12:54:26.056.045,0.038121,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b3 13 f0
18,接收,1,2026-04-24 12:54:26.117.917,0.061872,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
19,接收,1,2026-04-24 12:54:26.156.042,0.038125,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b3 13 f0
20,接收,1,2026-04-24 12:54:26.217.911,0.061869,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
21,接收,1,2026-04-24 12:54:26.256.067,0.038156,731,报文帧,数据帧,标准帧,CAN,1,05
22,接收,1,2026-04-24 12:54:26.256.331,0.000264,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b3 13 f0
23,接收,1,2026-04-24 12:54:26.317.908,0.061577,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
24,接收,1,2026-04-24 12:54:26.356.069,0.038161,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b3 13 f0
25,接收,1,2026-04-24 12:54:26.417.901,0.061832,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
26,接收,1,2026-04-24 12:54:26.437.773,0.019872,0,错误帧,数据帧,标准帧,CAN,0,
27,接收,1,2026-04-24 12:54:26.456.069,0.018296,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b1 13 f0
28,接收,1,2026-04-24 12:54:26.525.820,0.069751,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 00
29,接收,1,2026-04-24 12:54:26.556.089,0.030269,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b0 13 f0
30,接收,1,2026-04-24 12:54:26.585.875,0.029786,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
31,接收,1,2026-04-24 12:54:26.613.341,0.027466,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
32,接收,1,2026-04-24 12:54:26.613.841,0.000500,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 00
33,接收,1,2026-04-24 12:54:26.656.090,0.042249,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b0 13 f0
34,接收,1,2026-04-24 12:54:26.701.813,0.045723,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 01
35,接收,1,2026-04-24 12:54:26.713.337,0.011524,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
36,接收,1,2026-04-24 12:54:26.756.081,0.042744,731,报文帧,数据帧,标准帧,CAN,1,05
37,接收,1,2026-04-24 12:54:26.756.346,0.000265,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b1 13 f0
38,接收,1,2026-04-24 12:54:26.789.813,0.033467,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 01
39,接收,1,2026-04-24 12:54:26.813.332,0.023519,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
40,接收,1,2026-04-24 12:54:26.856.109,0.042777,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b3 13 f0
41,接收,1,2026-04-24 12:54:26.877.808,0.021699,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 02
42,接收,1,2026-04-24 12:54:26.956.110,0.078302,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 b3 13 f0
