序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 14:30:30.654.511,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
1,接收,1,2026-04-24 14:30:30.668.794,0.014283,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 52
2,接收,1,2026-04-24 14:30:30.745.756,0.076962,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 cb 11 f0
3,接收,1,2026-04-24 14:30:30.756.791,0.011035,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 53
4,接收,1,2026-04-24 14:30:30.757.315,0.000524,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
5,接收,1,2026-04-24 14:30:30.844.789,0.087474,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 53
6,接收,1,2026-04-24 14:30:30.845.754,0.000965,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 d5 11 f0
7,接收,1,2026-04-24 14:30:30.857.313,0.011559,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
8,接收,1,2026-04-24 14:30:30.932.787,0.075474,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 54
9,接收,1,2026-04-24 14:30:30.945.780,0.012993,731,报文帧,数据帧,标准帧,CAN,1,05
10,接收,1,2026-04-24 14:30:30.946.012,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 d8 11 f0
11,接收,1,2026-04-24 14:30:30.974.490,0.028478,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
12,接收,1,2026-04-24 14:30:31.020.785,0.046295,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 54
13,接收,1,2026-04-24 14:30:31.045.782,0.024997,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 d3 11 f0
14,接收,1,2026-04-24 14:30:31.057.301,0.011519,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
15,接收,1,2026-04-24 14:30:31.085.545,0.028244,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 1d 55 1a 00 00
16,接收,1,2026-04-24 14:30:31.086.109,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a8 00 82 00
17,接收,1,2026-04-24 14:30:31.086.677,0.000568,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 20 03 b0 01
18,接收,1,2026-04-24 14:30:31.087.241,0.000564,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 1f 00 16 00 28 00
19,接收,1,2026-04-24 14:30:31.087.814,0.000573,18f185a0,报文帧,数据帧,扩展帧,CAN,8,1f 0a 00 00 20 1c 00 00
20,接收,1,2026-04-24 14:30:31.088.382,0.000568,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
21,接收,1,2026-04-24 14:30:31.088.942,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
22,接收,1,2026-04-24 14:30:31.089.507,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 01 02 02
23,接收,1,2026-04-24 14:30:31.090.075,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 05 15 00
24,接收,1,2026-04-24 14:30:31.090.647,0.000572,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
25,接收,1,2026-04-24 14:30:31.091.228,0.000581,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
26,接收,1,2026-04-24 14:30:31.108.783,0.017555,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 55
27,接收,1,2026-04-24 14:30:31.145.780,0.036997,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 d1 11 f0
28,接收,1,2026-04-24 14:30:31.157.295,0.011515,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
29,接收,1,2026-04-24 14:30:31.196.778,0.039483,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 55
30,接收,1,2026-04-24 14:30:31.245.803,0.049025,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 d9 11 f0
31,接收,1,2026-04-24 14:30:31.284.778,0.038975,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
32,接收,1,2026-04-24 14:30:31.294.474,0.009696,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
33,接收,1,2026-04-24 14:30:31.345.794,0.051320,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 ce 11 f0
34,接收,1,2026-04-24 14:30:31.352.734,0.006940,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
35,接收,1,2026-04-24 14:30:31.372.774,0.020040,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
36,接收,1,2026-04-24 14:30:31.445.796,0.073022,731,报文帧,数据帧,标准帧,CAN,1,05
37,接收,1,2026-04-24 14:30:31.446.028,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 ca 11 f0
38,接收,1,2026-04-24 14:30:31.454.463,0.008435,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
39,接收,1,2026-04-24 14:30:31.460.771,0.006308,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 56
40,接收,1,2026-04-24 14:30:31.545.820,0.085049,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 d2 11 f0
41,接收,1,2026-04-24 14:30:31.548.768,0.002948,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 57
42,接收,1,2026-04-24 14:30:31.557.273,0.008505,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
43,接收,1,2026-04-24 14:30:31.585.537,0.028264,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 1d 55 1a 00 00
44,接收,1,2026-04-24 14:30:31.586.100,0.000563,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a8 00 82 00
45,接收,1,2026-04-24 14:30:31.586.668,0.000568,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 20 03 b4 01
46,接收,1,2026-04-24 14:30:31.587.228,0.000560,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 1f 00 16 00 28 00
47,接收,1,2026-04-24 14:30:31.587.801,0.000573,18f185a0,报文帧,数据帧,扩展帧,CAN,8,1f 0a 00 00 20 1c 00 00
48,接收,1,2026-04-24 14:30:31.588.369,0.000568,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
49,接收,1,2026-04-24 14:30:31.588.929,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
50,接收,1,2026-04-24 14:30:31.589.494,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 01 02 02
51,接收,1,2026-04-24 14:30:31.590.062,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 05 15 00
52,接收,1,2026-04-24 14:30:31.590.634,0.000572,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
53,接收,1,2026-04-24 14:30:31.591.214,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 1d 55 1a 00 00
