序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 14:27:30.482.493,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 00 00 f0
1,发送,1,2026-04-24 14:27:30.483.083,0.000590,0,错误帧,数据帧,标准帧,CAN,0,
2,发送,1,2026-04-24 14:27:30.483.087,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
3,发送,1,2026-04-24 14:27:30.483.091,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
4,发送,1,2026-04-24 14:27:30.483.095,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
5,发送,1,2026-04-24 14:27:30.483.099,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
6,发送,1,2026-04-24 14:27:30.483.103,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
7,发送,1,2026-04-24 14:27:30.483.107,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
8,发送,1,2026-04-24 14:27:30.483.111,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
9,发送,1,2026-04-24 14:27:30.483.115,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
10,发送,1,2026-04-24 14:27:30.483.119,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
11,发送,1,2026-04-24 14:27:30.483.123,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
12,发送,1,2026-04-24 14:27:30.483.127,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
13,发送,1,2026-04-24 14:27:30.483.131,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
14,发送,1,2026-04-24 14:27:30.483.135,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
15,发送,1,2026-04-24 14:27:30.483.139,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
16,发送,1,2026-04-24 14:27:30.483.143,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
17,发送,1,2026-04-24 14:27:30.483.147,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
18,接收,1,2026-04-24 14:27:30.483.187,0.000040,731,错误帧,数据帧,标准帧,CAN,0,
19,接收,1,2026-04-24 14:27:30.483.474,0.000287,731,报文帧,数据帧,标准帧,CAN,1,05
20,接收,1,2026-04-24 14:27:30.483.739,0.000265,731,报文帧,数据帧,标准帧,CAN,1,00
21,接收,1,2026-04-24 14:27:30.497.411,0.013672,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 d6 12 f0
22,接收,1,2026-04-24 14:27:30.597.430,0.100019,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 e2 12 f0
