序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 15:30:32.323.179,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
1,接收,1,2026-04-24 15:30:32.360.262,0.037083,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 b3
2,接收,1,2026-04-24 15:30:32.376.543,0.016281,1b1,报文帧,数据帧,标准帧,CAN,5,60 27 69 12 f0
3,接收,1,2026-04-24 15:30:32.427.720,0.051177,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
4,接收,1,2026-04-24 15:30:32.431.140,0.003420,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 2a 57 19 00 00
5,接收,1,2026-04-24 15:30:32.431.708,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 92 00 80 00
6,接收,1,2026-04-24 15:30:32.432.284,0.000576,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 20 03 70 01
7,接收,1,2026-04-24 15:30:32.432.848,0.000564,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1f 00 2e 00
8,接收,1,2026-04-24 15:30:32.433.420,0.000572,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 20 1c 00 00
9,接收,1,2026-04-24 15:30:32.433.988,0.000568,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 02 01 01 01 00 5f 19
10,接收,1,2026-04-24 15:30:32.434.549,0.000561,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
11,接收,1,2026-04-24 15:30:32.435.113,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
12,接收,1,2026-04-24 15:30:32.435.681,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 03 15 00
13,接收,1,2026-04-24 15:30:32.436.249,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
14,接收,1,2026-04-24 15:30:32.436.829,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
15,接收,1,2026-04-24 15:30:32.448.257,0.011428,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 b3
16,接收,1,2026-04-24 15:30:32.476.538,0.028281,1b1,报文帧,数据帧,标准帧,CAN,5,60 27 6b 12 f0
17,接收,1,2026-04-24 15:30:32.536.256,0.059718,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 b3
18,接收,1,2026-04-24 15:30:32.576.561,0.040305,1b1,报文帧,数据帧,标准帧,CAN,5,60 27 6c 12 f0
19,接收,1,2026-04-24 15:30:32.595.695,0.019134,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
20,接收,1,2026-04-24 15:30:32.623.162,0.027467,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
21,接收,1,2026-04-24 15:30:32.624.253,0.001091,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 b4
22,接收,1,2026-04-24 15:30:32.676.555,0.052302,731,报文帧,数据帧,标准帧,CAN,1,05
23,接收,1,2026-04-24 15:30:32.676.786,0.000231,1b1,报文帧,数据帧,标准帧,CAN,5,60 27 69 12 f0
24,接收,1,2026-04-24 15:30:32.712.249,0.035463,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 b4
