序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 13:33:24.016.698,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
1,接收,1,2026-04-24 13:33:24.017.886,0.001188,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 38
2,接收,1,2026-04-24 13:33:24.035.135,0.017249,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 48 12 f0
3,接收,1,2026-04-24 13:33:24.105.885,0.070750,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 38
4,接收,1,2026-04-24 13:33:24.121.240,0.015355,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
5,接收,1,2026-04-24 13:33:24.135.157,0.013917,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 4b 12 f0
6,接收,1,2026-04-24 13:33:24.193.879,0.058722,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 39
7,接收,1,2026-04-24 13:33:24.235.148,0.041269,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 51 12 f0
8,接收,1,2026-04-24 13:33:24.253.419,0.018271,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
9,接收,1,2026-04-24 13:33:24.281.878,0.028459,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 39
10,接收,1,2026-04-24 13:33:24.316.680,0.034802,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
11,接收,1,2026-04-24 13:33:24.335.168,0.018488,731,报文帧,数据帧,标准帧,CAN,1,05
12,接收,1,2026-04-24 13:33:24.335.400,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 56 12 f0
13,接收,1,2026-04-24 13:33:24.369.875,0.034475,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 3a
14,接收,1,2026-04-24 13:33:24.418.409,0.048534,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
15,接收,1,2026-04-24 13:33:24.435.173,0.016764,1b1,报文帧,数据帧,标准帧,CAN,5,ca 25 5e 12 f0
16,接收,1,2026-04-24 13:33:24.449.709,0.014536,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 03 00 1d 57 19 00 00
17,接收,1,2026-04-24 13:33:24.450.274,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,9c 00 2c 00 9f 00 82 00
