序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 09:10:15.510.709,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 00 00 f0
1,接收,1,2026-04-24 09:10:15.511.113,0.000404,731,报文帧,数据帧,标准帧,CAN,1,05
2,接收,1,2026-04-24 09:10:15.511.378,0.000265,731,报文帧,数据帧,标准帧,CAN,1,00
3,接收,1,2026-04-24 09:10:15.534.303,0.022925,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 93 13 f0
4,接收,1,2026-04-24 09:10:15.634.321,0.100018,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a0 13 f0
5,接收,1,2026-04-24 09:10:15.701.478,0.067157,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
6,接收,1,2026-04-24 09:10:15.734.318,0.032840,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
7,接收,1,2026-04-24 09:10:15.801.475,0.067157,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
8,接收,1,2026-04-24 09:10:15.834.340,0.032865,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a5 13 f0
9,接收,1,2026-04-24 09:10:15.901.468,0.067128,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
10,接收,1,2026-04-24 09:10:15.934.341,0.032873,731,报文帧,数据帧,标准帧,CAN,1,05
11,接收,1,2026-04-24 09:10:15.934.605,0.000264,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a5 13 f0
12,接收,1,2026-04-24 09:10:15.996.914,0.062309,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
13,接收,1,2026-04-24 09:10:16.034.346,0.037432,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a5 13 f0
14,接收,1,2026-04-24 09:10:16.101.459,0.067113,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
15,接收,1,2026-04-24 09:10:16.134.364,0.032905,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a3 13 f0
16,接收,1,2026-04-24 09:10:16.196.904,0.062540,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
17,接收,1,2026-04-24 09:10:16.234.365,0.037461,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
18,接收,1,2026-04-24 09:10:16.296.898,0.062533,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
19,接收,1,2026-04-24 09:10:16.334.382,0.037484,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
20,接收,1,2026-04-24 09:10:16.396.891,0.062509,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
21,接收,1,2026-04-24 09:10:16.434.384,0.037493,731,报文帧,数据帧,标准帧,CAN,1,05
22,接收,1,2026-04-24 09:10:16.434.647,0.000263,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
23,接收,1,2026-04-24 09:10:16.501.436,0.066789,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
24,接收,1,2026-04-24 09:10:16.534.385,0.032949,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
25,接收,1,2026-04-24 09:10:16.601.429,0.067044,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
26,接收,1,2026-04-24 09:10:16.634.410,0.032981,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
27,接收,1,2026-04-24 09:10:16.645.949,0.011539,0,错误帧,数据帧,标准帧,CAN,0,
28,接收,1,2026-04-24 09:10:16.733.994,0.088045,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 00
29,接收,1,2026-04-24 09:10:16.734.498,0.000504,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
30,接收,1,2026-04-24 09:10:16.769.404,0.034906,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
