序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 15:15:32.148.921,0.000000,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 90
1,接收,1,2026-04-24 15:15:32.157.514,0.008593,1b1,报文帧,数据帧,标准帧,CAN,5,44 27 39 12 f0
2,接收,1,2026-04-24 15:15:32.236.919,0.079405,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 90
3,接收,1,2026-04-24 15:15:32.250.615,0.013696,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
4,接收,1,2026-04-24 15:15:32.258.483,0.007868,1b1,报文帧,数据帧,标准帧,CAN,5,44 27 38 12 f0
5,接收,1,2026-04-24 15:15:32.282.633,0.024150,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
6,接收,1,2026-04-24 15:15:32.324.916,0.042283,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 91
7,接收,1,2026-04-24 15:15:32.358.497,0.033581,1b1,报文帧,数据帧,标准帧,CAN,5,44 27 38 12 f0
8,接收,1,2026-04-24 15:15:32.382.627,0.024130,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
9,接收,1,2026-04-24 15:15:32.412.914,0.030287,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 91
10,接收,1,2026-04-24 15:15:32.444.623,0.031709,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 29 56 19 00 00
11,接收,1,2026-04-24 15:15:32.445.187,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 94 00 80 00
12,接收,1,2026-04-24 15:15:32.445.759,0.000572,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 21 03 5c 01
13,接收,1,2026-04-24 15:15:32.446.320,0.000561,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1e 00 31 00
14,接收,1,2026-04-24 15:15:32.446.884,0.000564,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 20 1c 00 00
15,接收,1,2026-04-24 15:15:32.447.452,0.000568,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 02 01 01 01 00 5f 19
16,接收,1,2026-04-24 15:15:32.448.012,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
17,接收,1,2026-04-24 15:15:32.448.576,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
18,接收,1,2026-04-24 15:15:32.449.144,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 05 16 00
19,接收,1,2026-04-24 15:15:32.449.725,0.000581,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
20,接收,1,2026-04-24 15:15:32.450.305,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
21,接收,1,2026-04-24 15:15:32.458.509,0.008204,731,报文帧,数据帧,标准帧,CAN,1,05
22,接收,1,2026-04-24 15:15:32.458.741,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,44 27 39 12 f0
23,接收,1,2026-04-24 15:15:32.478.072,0.019331,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
24,接收,1,2026-04-24 15:15:32.500.911,0.022839,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 91
25,接收,1,2026-04-24 15:15:32.558.504,0.057593,1b1,报文帧,数据帧,标准帧,CAN,5,44 27 35 12 f0
26,接收,1,2026-04-24 15:15:32.588.907,0.030403,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 92
27,接收,1,2026-04-24 15:15:32.646.112,0.057205,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
28,接收,1,2026-04-24 15:15:32.658.520,0.012408,1b1,报文帧,数据帧,标准帧,CAN,5,44 27 36 12 f0
29,接收,1,2026-04-24 15:15:32.676.908,0.018388,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 92
30,接收,1,2026-04-24 15:15:32.678.060,0.001152,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
31,接收,1,2026-04-24 15:15:32.758.533,0.080473,1b1,报文帧,数据帧,标准帧,CAN,5,44 27 38 12 f0
32,接收,1,2026-04-24 15:15:32.764.901,0.006368,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 93
33,接收,1,2026-04-24 15:15:32.782.601,0.017700,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
34,接收,1,2026-04-24 15:15:32.852.902,0.070301,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 93
35,接收,1,2026-04-24 15:15:32.858.523,0.005621,1b1,报文帧,数据帧,标准帧,CAN,5,44 27 38 12 f0
36,接收,1,2026-04-24 15:15:32.878.049,0.019526,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
