序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 07:45:53.783.075,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a1 13 f0
1,接收,1,2026-04-24 07:45:53.829.997,0.046922,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
2,接收,1,2026-04-24 07:45:53.883.098,0.053101,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
3,接收,1,2026-04-24 07:45:53.934.539,0.051441,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
4,接收,1,2026-04-24 07:45:53.983.096,0.048557,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a2 13 f0
5,接收,1,2026-04-24 07:45:54.029.985,0.046889,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
6,接收,1,2026-04-24 07:45:54.083.094,0.053109,731,报文帧,数据帧,标准帧,CAN,1,05
7,接收,1,2026-04-24 07:45:54.083.358,0.000264,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 a0 13 f0
8,接收,1,2026-04-24 07:45:54.129.980,0.046622,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
9,接收,1,2026-04-24 07:45:54.183.125,0.053145,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9d 13 f0
10,接收,1,2026-04-24 07:45:54.229.974,0.046849,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
11,接收,1,2026-04-24 07:45:54.283.115,0.053141,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9c 13 f0
12,接收,1,2026-04-24 07:45:54.334.517,0.051402,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
13,接收,1,2026-04-24 07:45:54.383.141,0.048624,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9c 13 f0
14,接收,1,2026-04-24 07:45:54.434.514,0.051373,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
15,接收,1,2026-04-24 07:45:54.483.135,0.048621,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9e 13 f0
16,接收,1,2026-04-24 07:45:54.534.509,0.051374,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
17,接收,1,2026-04-24 07:45:54.583.138,0.048629,731,报文帧,数据帧,标准帧,CAN,1,05
18,接收,1,2026-04-24 07:45:54.583.402,0.000264,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9e 13 f0
19,接收,1,2026-04-24 07:45:54.634.503,0.051101,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
20,接收,1,2026-04-24 07:45:54.683.164,0.048661,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9e 13 f0
21,接收,1,2026-04-24 07:45:54.734.497,0.051333,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
22,接收,1,2026-04-24 07:45:54.783.162,0.048665,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9e 13 f0
23,接收,1,2026-04-24 07:45:54.817.885,0.034723,0,错误帧,数据帧,标准帧,CAN,0,
24,接收,1,2026-04-24 07:45:54.883.186,0.065301,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9e 13 f0
25,接收,1,2026-04-24 07:45:54.902.468,0.019282,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
26,接收,1,2026-04-24 07:45:54.905.928,0.003460,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 00
27,接收,1,2026-04-24 07:45:54.929.935,0.024007,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
28,接收,1,2026-04-24 07:45:54.983.188,0.053253,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 9e 13 f0
29,接收,1,2026-04-24 07:45:54.993.928,0.010740,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 00
