序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 13:24:23.760.367,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 00 00 f0
1,发送,1,2026-04-24 13:24:23.760.956,0.000589,0,错误帧,数据帧,标准帧,CAN,0,
2,发送,1,2026-04-24 13:24:23.760.960,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
3,发送,1,2026-04-24 13:24:23.760.964,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
4,发送,1,2026-04-24 13:24:23.760.968,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
5,发送,1,2026-04-24 13:24:23.760.972,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
6,发送,1,2026-04-24 13:24:23.760.976,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
7,发送,1,2026-04-24 13:24:23.760.980,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
8,发送,1,2026-04-24 13:24:23.760.984,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
9,发送,1,2026-04-24 13:24:23.760.988,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
10,发送,1,2026-04-24 13:24:23.760.992,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
11,发送,1,2026-04-24 13:24:23.760.996,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
12,发送,1,2026-04-24 13:24:23.761.000,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
13,发送,1,2026-04-24 13:24:23.761.004,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
14,发送,1,2026-04-24 13:24:23.761.008,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
15,发送,1,2026-04-24 13:24:23.761.012,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
16,发送,1,2026-04-24 13:24:23.761.016,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
17,发送,1,2026-04-24 13:24:23.761.020,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
18,接收,1,2026-04-24 13:24:23.761.060,0.000040,731,错误帧,数据帧,标准帧,CAN,0,
19,接收,1,2026-04-24 13:24:23.761.347,0.000287,731,报文帧,数据帧,标准帧,CAN,1,05
20,接收,1,2026-04-24 13:24:23.761.612,0.000265,731,报文帧,数据帧,标准帧,CAN,1,00
21,接收,1,2026-04-24 13:24:23.780.969,0.019357,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 d8 12 f0
