序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-04-24 14:33:30.698.601,0.000000,1b1,报文帧,数据帧,标准帧,CAN,5,d2 25 c1 11 f0
1,接收,1,2026-04-24 14:33:30.711.776,0.013175,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 aa
2,接收,1,2026-04-24 14:33:30.746.831,0.035055,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
3,接收,1,2026-04-24 14:33:30.798.596,0.051765,1b1,报文帧,数据帧,标准帧,CAN,5,d2 25 ca 11 f0
4,接收,1,2026-04-24 14:33:30.799.775,0.001179,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ab
5,接收,1,2026-04-24 14:33:30.846.825,0.047050,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
6,接收,1,2026-04-24 14:33:30.887.772,0.040947,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ab
7,接收,1,2026-04-24 14:33:30.898.612,0.010840,1b1,报文帧,数据帧,标准帧,CAN,5,d2 25 be 11 f0
8,接收,1,2026-04-24 14:33:30.966.088,0.067476,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
9,接收,1,2026-04-24 14:33:30.975.768,0.009680,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ac
10,接收,1,2026-04-24 14:33:30.998.617,0.022849,731,报文帧,数据帧,标准帧,CAN,1,05
11,接收,1,2026-04-24 14:33:30.998.849,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,d2 25 bb 11 f0
12,接收,1,2026-04-24 14:33:31.046.814,0.047965,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
13,接收,1,2026-04-24 14:33:31.063.766,0.016952,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ac
14,接收,1,2026-04-24 14:33:31.083.222,0.019456,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 1d 55 19 00 00
15,接收,1,2026-04-24 14:33:31.083.787,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a1 00 81 00
16,接收,1,2026-04-24 14:33:31.084.355,0.000568,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 1f 03 a0 01
17,接收,1,2026-04-24 14:33:31.084.919,0.000564,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 1f 00 17 00 2c 00
18,接收,1,2026-04-24 14:33:31.085.500,0.000581,18f185a0,报文帧,数据帧,扩展帧,CAN,8,1f 0a 00 00 20 1c 00 00
19,接收,1,2026-04-24 14:33:31.086.068,0.000568,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 5f 19
20,接收,1,2026-04-24 14:33:31.086.628,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
21,接收,1,2026-04-24 14:33:31.087.193,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 01 02 02
22,接收,1,2026-04-24 14:33:31.087.761,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 01 14 00
23,接收,1,2026-04-24 14:33:31.088.337,0.000576,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
24,接收,1,2026-04-24 14:33:31.088.917,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
25,接收,1,2026-04-24 14:33:31.098.645,0.009728,1b1,报文帧,数据帧,标准帧,CAN,5,d2 25 c5 11 f0
26,接收,1,2026-04-24 14:33:31.142.258,0.043613,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
27,接收,1,2026-04-24 14:33:31.151.766,0.009508,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 ac
