时间标识,帧ID,数据
2026-05-05 12:32:59.941.457,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:32:59.942.025,18f182a0,02 00 03 00 90 00 03 00
2026-05-05 12:32:59.942.602,18f183a0,05 0a 00 00 00 00 00 00
2026-05-05 12:32:59.943.179,18f184a0,65 00 2c 00 23 00 d8 00
2026-05-05 12:32:59.943.735,18f185a0,00 00 00 00 c4 6c 00 00
2026-05-05 12:32:59.944.304,18f186a0,02 01 03 01 00 00 3d 3b
2026-05-05 12:33:00.441.447,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:00.442.016,18f182a0,02 00 03 00 90 00 03 00
2026-05-05 12:33:00.442.592,18f183a0,07 0a 00 00 00 00 00 00
2026-05-05 12:33:00.443.169,18f184a0,65 00 2c 00 23 00 d8 00
2026-05-05 12:33:00.443.726,18f185a0,00 00 00 00 c5 6c 00 00
2026-05-05 12:33:00.444.298,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:00.941.443,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:00.942.011,18f182a0,02 00 03 00 90 00 03 00
2026-05-05 12:33:00.942.588,18f183a0,07 0a 00 00 00 00 00 00
2026-05-05 12:33:00.943.165,18f184a0,65 00 2c 00 23 00 d8 00
2026-05-05 12:33:00.943.721,18f185a0,52 0e 00 00 c5 6c 00 00
2026-05-05 12:33:00.944.278,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:01.441.432,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:01.442.001,18f182a0,02 00 03 00 90 00 03 00
2026-05-05 12:33:01.442.577,18f183a0,04 0a 00 00 00 00 00 00
2026-05-05 12:33:01.443.154,18f184a0,65 00 2c 00 23 00 d8 00
2026-05-05 12:33:01.443.711,18f185a0,52 0e 00 00 c6 6c 00 00
2026-05-05 12:33:01.444.271,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:01.941.426,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:01.941.995,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:01.942.564,18f183a0,04 0a 00 00 00 00 00 00
2026-05-05 12:33:01.943.140,18f184a0,65 00 2c 00 23 00 d8 00
2026-05-05 12:33:01.943.697,18f185a0,52 0e 00 00 c6 6c 00 00
2026-05-05 12:33:01.944.258,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:02.441.418,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:02.441.986,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:02.442.554,18f183a0,1c 0a 00 00 00 00 00 00
2026-05-05 12:33:02.443.135,18f184a0,d2 00 2c 00 23 00 d8 00
2026-05-05 12:33:02.443.692,18f185a0,52 0e 00 00 c7 6c 00 00
2026-05-05 12:33:02.444.252,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:02.941.413,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:02.941.981,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:02.942.550,18f183a0,1c 0a 00 00 00 00 00 00
2026-05-05 12:33:02.943.131,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:02.943.695,18f185a0,52 0e 00 00 c7 6c 00 00
2026-05-05 12:33:02.944.256,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:03.441.403,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:03.441.972,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:03.442.540,18f183a0,44 0a 00 00 00 00 00 00
2026-05-05 12:33:03.443.117,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:03.443.681,18f185a0,52 0e 00 00 c8 6c 00 00
2026-05-05 12:33:03.444.242,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:03.941.398,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:03.941.967,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:03.942.535,18f183a0,44 0a 00 00 00 00 00 00
2026-05-05 12:33:03.943.112,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:03.943.676,18f185a0,52 0e 00 00 c8 6c 00 00
2026-05-05 12:33:03.944.237,18f186a0,02 01 03 01 01 00 3d 3b
