时间标识,帧ID,数据
2026-04-24 07:45:53.783.075,1b1,00 00 a1 13 f0
2026-04-24 07:45:53.829.997,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:53.883.098,1b1,00 00 a2 13 f0
2026-04-24 07:45:53.934.539,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:53.983.096,1b1,00 00 a2 13 f0
2026-04-24 07:45:54.029.985,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:54.083.094,731,05
2026-04-24 07:45:54.083.358,1b1,00 00 a0 13 f0
2026-04-24 07:45:54.129.980,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:54.183.125,1b1,00 00 9d 13 f0
2026-04-24 07:45:54.229.974,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:54.283.115,1b1,00 00 9c 13 f0
2026-04-24 07:45:54.334.517,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:54.383.141,1b1,00 00 9c 13 f0
2026-04-24 07:45:54.434.514,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:54.483.135,1b1,00 00 9e 13 f0
2026-04-24 07:45:54.534.509,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:54.583.138,731,05
2026-04-24 07:45:54.583.402,1b1,00 00 9e 13 f0
2026-04-24 07:45:54.634.503,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:54.683.164,1b1,00 00 9e 13 f0
2026-04-24 07:45:54.734.497,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:54.783.162,1b1,00 00 9e 13 f0
2026-04-24 07:45:54.817.885,0,
2026-04-24 07:45:54.883.186,1b1,00 00 9e 13 f0
2026-04-24 07:45:54.902.468,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:54.905.928,2,00 01 00 00 00 00 80 00
2026-04-24 07:45:54.929.935,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:54.983.188,1b1,00 00 9e 13 f0
2026-04-24 07:45:54.993.928,2,00 01 00 00 00 00 80 00
2026-04-24 07:45:55.029.931,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:55.081.925,2,00 01 00 00 00 00 80 01
2026-04-24 07:45:55.083.182,731,05
2026-04-24 07:45:55.083.446,1b1,00 00 9e 13 f0
2026-04-24 07:45:55.129.927,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:55.169.922,2,00 01 00 00 00 00 80 01
2026-04-24 07:45:55.183.211,1b1,00 00 9e 13 f0
2026-04-24 07:45:55.257.921,2,00 01 00 00 00 00 80 02
2026-04-24 07:45:55.283.209,1b1,00 00 a0 13 f0
2026-04-24 07:45:55.302.448,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:55.329.915,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:55.345.919,2,00 01 00 00 00 00 80 02
2026-04-24 07:45:55.383.203,1b1,00 00 a0 13 f0
2026-04-24 07:45:55.429.909,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:55.433.916,2,00 01 00 00 00 00 80 03
2026-04-24 07:45:55.483.226,1b1,00 00 a2 13 f0
2026-04-24 07:45:55.521.917,2,00 01 00 00 00 00 80 03
2026-04-24 07:45:55.529.905,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:55.569.513,a000000,01 01
2026-04-24 07:45:55.580.245,a000000,01 01
2026-04-24 07:45:55.584.233,731,05
2026-04-24 07:45:55.584.497,1b1,24 24 a2 13 f0
2026-04-24 07:45:55.591.245,a000000,01 01
2026-04-24 07:45:55.602.245,a000000,01 01
2026-04-24 07:45:55.609.913,2,00 01 00 00 00 00 80 03
2026-04-24 07:45:55.613.246,a000000,01 01
2026-04-24 07:45:55.624.246,a000000,01 01
2026-04-24 07:45:55.635.246,a000000,01 01
2026-04-24 07:45:55.646.247,a000000,01 01
2026-04-24 07:45:55.657.247,a000000,01 01
2026-04-24 07:45:55.668.247,a000000,01 01
2026-04-24 07:45:55.684.239,1b1,24 24 a2 13 f0
2026-04-24 07:45:55.697.911,2,00 01 00 00 00 00 80 04
2026-04-24 07:45:55.698.411,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:55.734.442,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:55.784.235,1b1,24 24 a2 13 f0
2026-04-24 07:45:55.785.910,2,00 01 00 00 00 00 80 04
2026-04-24 07:45:55.834.436,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:55.873.907,2,00 01 00 00 00 00 80 05
2026-04-24 07:45:55.884.255,1b1,24 24 a0 13 f0
2026-04-24 07:45:55.934.433,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:55.961.904,2,00 01 00 00 00 00 80 05
2026-04-24 07:45:55.984.253,1b1,24 24 9f 13 f0
2026-04-24 07:45:56.049.903,2,00 01 00 00 00 00 80 06
2026-04-24 07:45:56.084.276,731,05
2026-04-24 07:45:56.084.540,1b1,24 24 9e 13 f0
2026-04-24 07:45:56.102.403,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:56.129.870,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.137.902,2,00 01 00 00 00 00 80 06
2026-04-24 07:45:56.184.283,1b1,24 24 9e 13 f0
2026-04-24 07:45:56.225.898,2,00 01 00 00 00 00 80 07
2026-04-24 07:45:56.233.239,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:45:56.233.815,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:45:56.234.395,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.234.979,18f184a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.235.563,18d,00 00 00 00 00 00 01 00
