序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-05-05 14:38:14.260.461,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
1,接收,1,2026-05-05 14:38:14.360.457,0.099996,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
2,接收,1,2026-05-05 14:38:14.460.452,0.099995,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
3,接收,1,2026-05-05 14:38:14.560.448,0.099996,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
4,接收,1,2026-05-05 14:38:14.660.443,0.099995,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
5,接收,1,2026-05-05 14:38:14.664.614,0.004171,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
6,接收,1,2026-05-05 14:38:14.759.888,0.095274,11,报文帧,数据帧,标准帧,CAN,8,1f 81 00 00 00 00 00 00
7,接收,1,2026-05-05 14:38:14.760.436,0.000548,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
8,接收,1,2026-05-05 14:38:14.850.626,0.090190,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
9,接收,1,2026-05-05 14:38:14.860.430,0.009804,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
10,接收,1,2026-05-05 14:38:14.945.877,0.085447,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
11,接收,1,2026-05-05 14:38:14.960.428,0.014551,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
12,接收,1,2026-05-05 14:38:15.036.721,0.076293,11,报文帧,数据帧,标准帧,CAN,8,1f 81 00 00 00 00 00 00
13,接收,1,2026-05-05 14:38:15.055.872,0.019151,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
14,接收,1,2026-05-05 14:38:15.131.833,0.075961,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
15,接收,1,2026-05-05 14:38:15.160.415,0.028582,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
16,接收,1,2026-05-05 14:38:15.227.078,0.066663,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
17,接收,1,2026-05-05 14:38:15.317.836,0.090758,11,报文帧,数据帧,标准帧,CAN,8,1f 81 00 00 00 00 00 00
18,接收,1,2026-05-05 14:38:15.328.392,0.010556,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
19,接收,1,2026-05-05 14:38:15.360.407,0.032015,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
20,接收,1,2026-05-05 14:38:15.413.008,0.052601,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
21,接收,1,2026-05-05 14:38:15.460.402,0.047394,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
22,接收,1,2026-05-05 14:38:15.508.141,0.047739,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
23,接收,1,2026-05-05 14:38:15.560.395,0.052254,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
24,接收,1,2026-05-05 14:38:15.598.991,0.038596,11,报文帧,数据帧,标准帧,CAN,8,1f 81 00 00 00 00 00 00
25,接收,1,2026-05-05 14:38:15.694.197,0.095206,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
26,接收,1,2026-05-05 14:38:15.728.371,0.034174,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
27,接收,1,2026-05-05 14:38:15.760.385,0.032014,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
28,接收,1,2026-05-05 14:38:15.785.145,0.024760,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
29,接收,1,2026-05-05 14:38:15.855.833,0.070688,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
30,接收,1,2026-05-05 14:38:15.880.377,0.024544,11,报文帧,数据帧,标准帧,CAN,8,1f 81 00 00 00 00 00 00
31,接收,1,2026-05-05 14:38:15.955.829,0.075452,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
32,接收,1,2026-05-05 14:38:15.975.465,0.019636,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
33,接收,1,2026-05-05 14:38:15.997.120,0.021655,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
34,接收,1,2026-05-05 14:38:16.007.853,0.010733,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
35,接收,1,2026-05-05 14:38:16.018.850,0.010997,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
36,接收,1,2026-05-05 14:38:16.029.851,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
37,接收,1,2026-05-05 14:38:16.040.852,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
38,接收,1,2026-05-05 14:38:16.051.852,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
39,接收,1,2026-05-05 14:38:16.062.849,0.010997,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
40,接收,1,2026-05-05 14:38:16.066.237,0.003388,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
41,接收,1,2026-05-05 14:38:16.073.850,0.007613,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
42,接收,1,2026-05-05 14:38:16.084.851,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
43,接收,1,2026-05-05 14:38:16.095.852,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
44,接收,1,2026-05-05 14:38:16.128.350,0.032498,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
45,接收,1,2026-05-05 14:38:16.160.368,0.032018,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
46,接收,1,2026-05-05 14:38:16.161.324,0.000956,11,报文帧,数据帧,标准帧,CAN,8,1f 81 00 00 00 00 00 00
47,接收,1,2026-05-05 14:38:16.256.613,0.095289,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
48,接收,1,2026-05-05 14:38:16.260.361,0.003748,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
49,接收,1,2026-05-05 14:38:16.347.236,0.086875,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
50,接收,1,2026-05-05 14:38:16.360.356,0.013120,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
51,接收,1,2026-05-05 14:38:16.442.467,0.082111,11,报文帧,数据帧,标准帧,CAN,8,87 81 00 00 00 00 00 00
52,接收,1,2026-05-05 14:38:16.528.331,0.085864,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
53,接收,1,2026-05-05 14:38:16.533.410,0.005079,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
54,接收,1,2026-05-05 14:38:16.560.346,0.026936,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
55,接收,1,2026-05-05 14:38:16.628.620,0.068274,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
56,接收,1,2026-05-05 14:38:16.660.343,0.031723,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
