序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-05-05 12:32:57.552.459,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
1,发送,1,2026-05-05 12:32:57.631.245,0.078786,0,错误帧,数据帧,标准帧,CAN,0,
2,发送,1,2026-05-05 12:32:57.631.248,0.000003,0,错误帧,数据帧,标准帧,CAN,0,
3,发送,1,2026-05-05 12:32:57.631.252,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
4,发送,1,2026-05-05 12:32:57.631.256,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
5,发送,1,2026-05-05 12:32:57.631.260,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
6,发送,1,2026-05-05 12:32:57.631.264,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
7,发送,1,2026-05-05 12:32:57.631.268,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
8,发送,1,2026-05-05 12:32:57.631.272,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
9,发送,1,2026-05-05 12:32:57.631.277,0.000005,0,错误帧,数据帧,标准帧,CAN,0,
10,发送,1,2026-05-05 12:32:57.631.280,0.000003,0,错误帧,数据帧,标准帧,CAN,0,
11,发送,1,2026-05-05 12:32:57.631.284,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
12,发送,1,2026-05-05 12:32:57.631.288,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
13,发送,1,2026-05-05 12:32:57.631.292,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
14,发送,1,2026-05-05 12:32:57.631.296,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
15,发送,1,2026-05-05 12:32:57.631.300,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
16,发送,1,2026-05-05 12:32:57.631.304,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
17,发送,1,2026-05-05 12:32:57.631.308,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
18,接收,1,2026-05-05 12:32:57.631.348,0.000040,18d,错误帧,数据帧,标准帧,CAN,0,
19,发送,1,2026-05-05 12:32:57.632.348,0.001000,0,错误帧,数据帧,标准帧,CAN,0,
20,发送,1,2026-05-05 12:32:57.632.900,0.000552,0,错误帧,数据帧,标准帧,CAN,0,
21,发送,1,2026-05-05 12:32:57.633.452,0.000552,0,错误帧,数据帧,标准帧,CAN,0,
22,发送,1,2026-05-05 12:32:57.634.004,0.000552,0,错误帧,数据帧,标准帧,CAN,0,
23,发送,1,2026-05-05 12:32:57.634.556,0.000552,0,错误帧,数据帧,标准帧,CAN,0,
24,接收,1,2026-05-05 12:32:57.722.975,0.088419,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
25,发送,1,2026-05-05 12:32:57.731.236,0.008261,0,错误帧,数据帧,标准帧,CAN,0,
26,发送,1,2026-05-05 12:32:57.731.240,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
27,接收,1,2026-05-05 12:32:57.734.652,0.003412,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
28,发送,1,2026-05-05 12:32:57.831.232,0.096580,0,错误帧,数据帧,标准帧,CAN,0,
29,发送,1,2026-05-05 12:32:57.831.236,0.000004,0,错误帧,数据帧,标准帧,CAN,0,
30,接收,1,2026-05-05 12:32:57.843.479,0.012243,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
31,接收,1,2026-05-05 12:32:57.930.779,0.087300,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
32,接收,1,2026-05-05 12:32:57.939.285,0.008506,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
33,接收,1,2026-05-05 12:32:58.030.773,0.091488,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
34,接收,1,2026-05-05 12:32:58.034.617,0.003844,11,报文帧,数据帧,标准帧,CAN,8,f9 80 00 00 00 00 00 00
35,接收,1,2026-05-05 12:32:58.125.355,0.090738,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
36,接收,1,2026-05-05 12:32:58.130.771,0.005416,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
37,接收,1,2026-05-05 12:32:58.220.773,0.090002,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
38,接收,1,2026-05-05 12:32:58.230.765,0.009992,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
39,接收,1,2026-05-05 12:32:58.311.585,0.080820,11,报文帧,数据帧,标准帧,CAN,8,f9 80 00 00 00 00 00 00
40,接收,1,2026-05-05 12:32:58.326.212,0.014627,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
41,接收,1,2026-05-05 12:32:58.406.840,0.080628,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
42,接收,1,2026-05-05 12:32:58.430.755,0.023915,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
43,接收,1,2026-05-05 12:32:58.502.157,0.071402,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
44,接收,1,2026-05-05 12:32:58.593.019,0.090862,11,报文帧,数据帧,标准帧,CAN,8,b7 80 00 00 00 00 00 00
45,接收,1,2026-05-05 12:32:58.598.731,0.005712,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
46,接收,1,2026-05-05 12:32:58.630.746,0.032015,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
47,接收,1,2026-05-05 12:32:58.688.171,0.057425,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
48,接收,1,2026-05-05 12:32:58.730.741,0.042570,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
49,接收,1,2026-05-05 12:32:58.778.884,0.048143,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
50,接收,1,2026-05-05 12:32:58.830.737,0.051853,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
51,接收,1,2026-05-05 12:32:58.874.141,0.043404,11,报文帧,数据帧,标准帧,CAN,8,b7 80 00 00 00 00 00 00
52,接收,1,2026-05-05 12:32:58.969.278,0.095137,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
53,接收,1,2026-05-05 12:32:58.998.709,0.029431,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
54,接收,1,2026-05-05 12:32:59.030.724,0.032015,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
55,接收,1,2026-05-05 12:32:59.059.967,0.029243,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
56,接收,1,2026-05-05 12:32:59.130.719,0.070752,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
57,接收,1,2026-05-05 12:32:59.155.211,0.024492,11,报文帧,数据帧,标准帧,CAN,8,b7 80 00 00 00 00 00 00
58,接收,1,2026-05-05 12:32:59.230.715,0.075504,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
59,接收,1,2026-05-05 12:32:59.250.368,0.019653,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
60,接收,1,2026-05-05 12:32:59.277.733,0.027365,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
61,接收,1,2026-05-05 12:32:59.288.466,0.010733,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
62,接收,1,2026-05-05 12:32:59.299.467,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
63,接收,1,2026-05-05 12:32:59.310.463,0.010996,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
64,接收,1,2026-05-05 12:32:59.321.464,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
65,接收,1,2026-05-05 12:32:59.332.465,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
66,接收,1,2026-05-05 12:32:59.341.271,0.008806,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
67,接收,1,2026-05-05 12:32:59.343.465,0.002194,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
68,接收,1,2026-05-05 12:32:59.354.465,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
69,接收,1,2026-05-05 12:32:59.365.466,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
70,接收,1,2026-05-05 12:32:59.376.463,0.010997,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
71,接收,1,2026-05-05 12:32:59.398.690,0.022227,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
72,接收,1,2026-05-05 12:32:59.430.709,0.032019,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
73,接收,1,2026-05-05 12:32:59.436.500,0.005791,11,报文帧,数据帧,标准帧,CAN,8,b7 80 00 00 00 00 00 00
74,接收,1,2026-05-05 12:32:59.527.006,0.090506,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
75,接收,1,2026-05-05 12:32:59.530.702,0.003696,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
76,接收,1,2026-05-05 12:32:59.622.360,0.091658,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
77,接收,1,2026-05-05 12:32:59.626.148,0.003788,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
78,接收,1,2026-05-05 12:32:59.717.554,0.091406,11,报文帧,数据帧,标准帧,CAN,8,b7 80 00 00 00 00 00 00
79,接收,1,2026-05-05 12:32:59.798.670,0.081116,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
80,接收,1,2026-05-05 12:32:59.808.260,0.009590,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
81,接收,1,2026-05-05 12:32:59.830.687,0.022427,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
82,接收,1,2026-05-05 12:32:59.903.401,0.072714,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
83,接收,1,2026-05-05 12:32:59.930.684,0.027283,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
84,接收,1,2026-05-05 12:32:59.941.457,0.010773,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 23 4f 00 00 00
85,接收,1,2026-05-05 12:32:59.942.025,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,02 00 03 00 90 00 03 00
86,接收,1,2026-05-05 12:32:59.942.602,0.000577,18f183a0,报文帧,数据帧,扩展帧,CAN,8,05 0a 00 00 00 00 00 00
87,接收,1,2026-05-05 12:32:59.943.179,0.000577,18f184a0,报文帧,数据帧,扩展帧,CAN,8,65 00 2c 00 23 00 d8 00
88,接收,1,2026-05-05 12:32:59.943.735,0.000556,18f185a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 c4 6c 00 00
89,接收,1,2026-05-05 12:32:59.944.304,0.000569,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 03 01 00 00 3d 3b
90,接收,1,2026-05-05 12:32:59.944.861,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
91,接收,1,2026-05-05 12:32:59.945.441,0.000580,18f188a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
92,接收,1,2026-05-05 12:32:59.946.030,0.000589,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
93,接收,1,2026-05-05 12:32:59.946.610,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 23 4f 00 00 00
94,接收,1,2026-05-05 12:32:59.947.095,0.000485,182,报文帧,数据帧,标准帧,CAN,8,02 00 90 00 03 00 03 00
95,接收,1,2026-05-05 12:32:59.947.576,0.000481,183,报文帧,数据帧,标准帧,CAN,8,00 00 54 00 4b 00 00 00
96,接收,1,2026-05-05 12:32:59.948.064,0.000488,184,报文帧,数据帧,标准帧,CAN,8,05 0a 00 00 00 00 65 00
97,接收,1,2026-05-05 12:32:59.948.553,0.000489,185,报文帧,数据帧,标准帧,CAN,8,05 0a 00 00 00 02 3d 3b
98,接收,1,2026-05-05 12:32:59.949.034,0.000481,186,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 c4 6c 00 00
99,接收,1,2026-05-05 12:32:59.949.522,0.000488,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
100,接收,1,2026-05-05 12:32:59.998.553,0.049031,11,报文帧,数据帧,标准帧,CAN,8,b7 80 00 00 00 00 00 00
101,接收,1,2026-05-05 12:33:00.026.128,0.027575,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
102,接收,1,2026-05-05 12:33:00.089.259,0.063131,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
103,接收,1,2026-05-05 12:33:00.184.468,0.095209,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
104,接收,1,2026-05-05 12:33:00.194.172,0.009704,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
105,接收,1,2026-05-05 12:33:00.226.119,0.031947,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
106,接收,1,2026-05-05 12:33:00.275.326,0.049207,11,报文帧,数据帧,标准帧,CAN,8,b7 80 00 00 00 00 00 00
107,接收,1,2026-05-05 12:33:00.330.663,0.055337,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
108,接收,1,2026-05-05 12:33:00.370.439,0.039776,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
109,接收,1,2026-05-05 12:33:00.441.447,0.071008,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 23 4f 00 00 00
110,接收,1,2026-05-05 12:33:00.442.016,0.000569,18f182a0,报文帧,数据帧,扩展帧,CAN,8,02 00 03 00 90 00 03 00
111,接收,1,2026-05-05 12:33:00.442.592,0.000576,18f183a0,报文帧,数据帧,扩展帧,CAN,8,07 0a 00 00 00 00 00 00
112,接收,1,2026-05-05 12:33:00.443.169,0.000577,18f184a0,报文帧,数据帧,扩展帧,CAN,8,65 00 2c 00 23 00 d8 00
113,接收,1,2026-05-05 12:33:00.443.726,0.000557,18f185a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 c5 6c 00 00
114,接收,1,2026-05-05 12:33:00.444.298,0.000572,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 03 01 01 00 3d 3b
115,接收,1,2026-05-05 12:33:00.444.859,0.000561,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 02 02 02 02 02
