序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-05-05 15:22:59.839.752,0.000000,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
1,接收,1,2026-05-05 15:22:59.893.253,0.053501,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
2,接收,1,2026-05-05 15:22:59.934.909,0.041656,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
3,接收,1,2026-05-05 15:23:00.025.675,0.090766,11,报文帧,数据帧,标准帧,CAN,8,30 81 00 00 00 00 00 00
4,接收,1,2026-05-05 15:23:00.040.434,0.014759,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
5,接收,1,2026-05-05 15:23:00.093.243,0.052809,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
6,接收,1,2026-05-05 15:23:00.120.710,0.027467,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
7,接收,1,2026-05-05 15:23:00.173.930,0.053220,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 04 00 29 4f 18 00 00
8,接收,1,2026-05-05 15:23:00.174.495,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,9d 00 7c 00 9e 00 7c 00
9,接收,1,2026-05-05 15:23:00.175.067,0.000572,18f183a0,报文帧,数据帧,扩展帧,CAN,8,02 0b 04 00 2a 06 f8 01
10,接收,1,2026-05-05 15:23:00.175.636,0.000569,18f184a0,报文帧,数据帧,扩展帧,CAN,8,f9 00 34 00 32 00 3b 00
11,接收,1,2026-05-05 15:23:00.176.197,0.000561,18f185a0,报文帧,数据帧,扩展帧,CAN,8,f4 16 00 00 46 8e 00 00
12,接收,1,2026-05-05 15:23:00.176.753,0.000556,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 35
13,接收,1,2026-05-05 15:23:00.177.310,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 01 02 01 01 01 02 02
14,接收,1,2026-05-05 15:23:00.177.870,0.000560,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 01
