序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-05-05 15:42:59.831.866,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 00 00
1,接收,1,2026-05-05 15:42:59.869.290,0.037424,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
2,接收,1,2026-05-05 15:42:59.890.867,0.021577,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 04 00 2b 4b 18 00 00
3,接收,1,2026-05-05 15:42:59.891.435,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,99 00 58 00 9a 00 7c 00
4,接收,1,2026-05-05 15:42:59.892.000,0.000565,18f183a0,报文帧,数据帧,扩展帧,CAN,8,01 0b 07 00 a1 06 f4 01
5,接收,1,2026-05-05 15:42:59.892.557,0.000557,18f184a0,报文帧,数据帧,扩展帧,CAN,8,05 01 36 00 33 00 40 00
6,接收,1,2026-05-05 15:42:59.893.113,0.000556,18f185a0,报文帧,数据帧,扩展帧,CAN,8,a6 18 00 00 f6 92 00 00
7,接收,1,2026-05-05 15:42:59.893.670,0.000557,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 31 32
8,接收,1,2026-05-05 15:42:59.894.227,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 01 02 01 01 01 02 02
9,接收,1,2026-05-05 15:42:59.894.787,0.000560,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 01
10,接收,1,2026-05-05 15:42:59.895.356,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
11,接收,1,2026-05-05 15:42:59.895.936,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 04 00 2b 4b 18 00 00
12,接收,1,2026-05-05 15:42:59.896.421,0.000485,182,报文帧,数据帧,标准帧,CAN,8,99 00 9a 00 58 00 7c 00
13,接收,1,2026-05-05 15:42:59.896.902,0.000481,183,报文帧,数据帧,标准帧,CAN,8,00 00 5e 00 5b 00 68 00
14,接收,1,2026-05-05 15:42:59.897.390,0.000488,184,报文帧,数据帧,标准帧,CAN,8,01 0b a1 06 f4 01 05 01
15,接收,1,2026-05-05 15:42:59.897.863,0.000473,185,报文帧,数据帧,标准帧,CAN,8,01 0b 1c 00 00 02 31 32
16,接收,1,2026-05-05 15:42:59.898.336,0.000473,186,报文帧,数据帧,标准帧,CAN,8,a6 18 00 00 f6 92 00 00
17,接收,1,2026-05-05 15:42:59.898.808,0.000472,191,报文帧,数据帧,标准帧,CAN,8,00 00 9f 02 00 00 00 00
18,接收,1,2026-05-05 15:42:59.924.915,0.026107,18d,报文帧,数据帧,标准帧,CAN,8,20 00 00 00 00 00 01 00
19,接收,1,2026-05-05 15:42:59.964.599,0.039684,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
