序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
0,接收,1,2026-05-05 13:12:57.802.643,0.000000,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
1,接收,1,2026-05-05 13:12:57.808.738,0.006095,11,报文帧,数据帧,标准帧,CAN,8,fc 80 00 00 00 00 00 00
2,接收,1,2026-05-05 13:12:57.859.386,0.050648,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 50 17 00 00
3,接收,1,2026-05-05 13:12:57.859.955,0.000569,18f182a0,报文帧,数据帧,扩展帧,CAN,8,02 00 1a 00 8f 00 7b 00
4,接收,1,2026-05-05 13:12:57.860.512,0.000557,18f183a0,报文帧,数据帧,扩展帧,CAN,8,2b 0b 00 00 1e 03 38 01
5,接收,1,2026-05-05 13:12:57.861.076,0.000564,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d3 00 32 00 31 00 3a 00
6,接收,1,2026-05-05 13:12:57.861.637,0.000561,18f185a0,报文帧,数据帧,扩展帧,CAN,8,5c 11 00 00 22 76 00 00
7,接收,1,2026-05-05 13:12:57.862.194,0.000557,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 3e 3b
8,接收,1,2026-05-05 13:12:57.862.758,0.000564,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
9,接收,1,2026-05-05 13:12:57.863.323,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 01 02 02
10,接收,1,2026-05-05 13:12:57.863.892,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
11,接收,1,2026-05-05 13:12:57.864.472,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 50 17 00 00
12,接收,1,2026-05-05 13:12:57.864.961,0.000489,182,报文帧,数据帧,标准帧,CAN,8,02 00 8f 00 1a 00 7b 00
13,接收,1,2026-05-05 13:12:57.865.446,0.000485,183,报文帧,数据帧,标准帧,CAN,8,00 00 5a 00 59 00 62 00
14,接收,1,2026-05-05 13:12:57.865.926,0.000480,184,报文帧,数据帧,标准帧,CAN,8,2b 0b 1e 03 38 01 d3 00
15,接收,1,2026-05-05 13:12:57.866.399,0.000473,185,报文帧,数据帧,标准帧,CAN,8,2b 0b 00 00 00 02 3e 3b
16,接收,1,2026-05-05 13:12:57.866.875,0.000476,186,报文帧,数据帧,标准帧,CAN,8,5c 11 00 00 22 76 00 00
17,接收,1,2026-05-05 13:12:57.867.352,0.000477,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
18,接收,1,2026-05-05 13:12:57.899.421,0.032069,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
19,接收,1,2026-05-05 13:12:57.902.637,0.003216,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
20,接收,1,2026-05-05 13:12:57.994.590,0.091953,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
21,接收,1,2026-05-05 13:12:58.024.193,0.029603,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
22,接收,1,2026-05-05 13:12:58.089.727,0.065534,11,报文帧,数据帧,标准帧,CAN,8,fc 80 00 00 00 00 00 00
23,接收,1,2026-05-05 13:12:58.102.627,0.012900,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
24,接收,1,2026-05-05 13:12:58.180.319,0.077692,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
25,接收,1,2026-05-05 13:12:58.202.623,0.022304,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
26,接收,1,2026-05-05 13:12:58.275.436,0.072813,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
27,接收,1,2026-05-05 13:12:58.343.968,0.068532,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
28,接收,1,2026-05-05 13:12:58.359.377,0.015409,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 50 18 00 00
29,接收,1,2026-05-05 13:12:58.359.954,0.000577,18f182a0,报文帧,数据帧,扩展帧,CAN,8,02 00 1a 00 8f 00 7b 00
30,接收,1,2026-05-05 13:12:58.360.510,0.000556,18f183a0,报文帧,数据帧,扩展帧,CAN,8,2b 0b 00 00 1f 03 38 01
31,接收,1,2026-05-05 13:12:58.361.075,0.000565,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d3 00 32 00 31 00 3a 00
32,接收,1,2026-05-05 13:12:58.361.636,0.000561,18f185a0,报文帧,数据帧,扩展帧,CAN,8,5c 11 00 00 23 76 00 00
33,接收,1,2026-05-05 13:12:58.362.196,0.000560,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 3e 3b
34,接收,1,2026-05-05 13:12:58.362.761,0.000565,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
35,接收,1,2026-05-05 13:12:58.363.325,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 01 02 02
36,接收,1,2026-05-05 13:12:58.363.894,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
37,接收,1,2026-05-05 13:12:58.364.475,0.000581,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 50 18 00 00
38,接收,1,2026-05-05 13:12:58.364.967,0.000492,182,报文帧,数据帧,标准帧,CAN,8,02 00 8f 00 1a 00 7b 00
39,接收,1,2026-05-05 13:12:58.365.452,0.000485,183,报文帧,数据帧,标准帧,CAN,8,00 00 5a 00 59 00 62 00
40,接收,1,2026-05-05 13:12:58.365.933,0.000481,184,报文帧,数据帧,标准帧,CAN,8,2b 0b 1f 03 38 01 d3 00
41,接收,1,2026-05-05 13:12:58.366.409,0.000476,185,报文帧,数据帧,标准帧,CAN,8,2b 0b 00 00 00 02 3e 3b
42,接收,1,2026-05-05 13:12:58.366.886,0.000477,186,报文帧,数据帧,标准帧,CAN,8,5c 11 00 00 23 76 00 00
